chrom	length	bases	mean	min	max
chr14_GL000194v1_random	191469	14320764	74.79	8	104
chr14_KI270723v1_random	38115	1901033	49.88	6	80
chr14_KI270724v1_random	39555	659155	16.66	3	37
chr14_KI270725v1_random	172810	7902424	45.73	1	84
chr14_KI270726v1_random	43739	386724	8.84	4	13
chr15_KI270727v1_random	448248	7705749	17.19	0	81
chr16_KI270728v1_random	1872759	20761272	11.09	0	47
chr17_GL000205v2_random	185591	17799068	95.90	0	190
chr17_KI270729v1_random	280839	18772832	66.85	0	973
chr17_KI270730v1_random	112551	7656746	68.03	2	142
chr22_KI270731v1_random	150754	5445518	36.12	0	73
chr22_KI270732v1_random	41543	3512344	84.55	31	111
chr22_KI270733v1_random	179772	61527303	342.25	3	1257
chr22_KI270734v1_random	165050	5002668	30.31	0	243
chr22_KI270735v1_random	42811	5526800	129.10	36	177
chr22_KI270736v1_random	181920	15213830	83.63	0	187
chr22_KI270737v1_random	103838	2601009	25.05	0	102
chr22_KI270738v1_random	99375	2784150	28.02	0	45
chr22_KI270739v1_random	73985	190010	2.57	0	6
chrUn_KI270305v1	1472	280	0.19	0	1
chrUn_KI270322v1	21476	3538	0.16	0	3
chrUn_KI270320v1	4416	57818	13.09	3	18
chrUn_KI270310v1	1201	1637	1.36	0	2
chrUn_KI270315v1	2276	470	0.21	0	1
chrUn_KI270311v1	12399	3808	0.31	0	2
chrUn_KI270317v1	37690	2830	0.08	0	2
chrUn_KI270411v1	2646	7721	2.92	0	4
chrUn_KI270414v1	2489	825	0.33	0	1
chrUn_KI270418v1	2145	4645	2.17	0	3
chrUn_KI270420v1	2321	1308	0.56	0	1
chrUn_KI270424v1	2140	1233	0.58	0	1
chrUn_KI270417v1	2043	2943	1.44	0	2
chrUn_KI270422v1	1445	2097	1.45	1	2
chrUn_KI270429v1	1361	820	0.60	0	3
chrUn_KI270442v1	392061	33055588	84.31	0	267
chrUn_KI270466v1	1233	108553	88.04	29	113
chrUn_KI270465v1	1774	1367	0.77	0	1
chrUn_KI270467v1	3920	40345856	10292.31	10	12856
chrUn_KI270435v1	92983	5243199	56.39	26	118
chrUn_KI270438v1	112505	77689103	690.54	0	7227
chrUn_KI270468v1	4055	12531	3.09	0	5
chrUn_KI270510v1	2415	14302	5.92	2	9
chrUn_KI270509v1	2318	7617	3.29	0	5
chrUn_KI270518v1	2186	12262	5.61	3	7
chrUn_KI270508v1	1951	9608	4.92	2	5
chrUn_KI270512v1	22689	1245639	54.90	0	90
chrUn_KI270519v1	138126	10721475	77.62	0	256
chrUn_KI270522v1	5674	21536	3.80	2	5
chrUn_KI270511v1	8127	144589	17.79	0	22
chrUn_KI270515v1	6361	150845	23.71	11	32
chrUn_KI270507v1	5353	37420	6.99	3	9
chrUn_KI270517v1	3253	14774	4.54	4	6
chrUn_KI270529v1	1899	950	0.50	0	2
chrUn_KI270528v1	2983	145	0.05	0	1
chrUn_KI270538v1	91309	3647784	39.95	0	110
chrUn_KI270544v1	1202	1973	1.64	0	4
chrUn_KI270583v1	1400	2575	1.84	0	2
chrUn_KI270587v1	2969	3805	1.28	0	3
chrUn_KI270580v1	1553	3632	2.34	0	3
chrUn_KI270581v1	7046	11438	1.62	0	4
chrUn_KI270579v1	31033	651790	21.00	3	36
chrUn_KI270589v1	44474	428819	9.64	0	35
chrUn_KI270590v1	4685	256239	54.69	0	64
chrUn_KI270584v1	4513	31705	7.03	4	10
chrUn_KI270582v1	6504	7364	1.13	0	3
chrUn_KI270588v1	6158	41910	6.81	0	11
chrUn_KI270593v1	3041	8258	2.72	1	4
chrUn_KI270591v1	5796	283585	48.93	4	65
chrUn_KI270330v1	1652	1173	0.71	0	4
chrUn_KI270329v1	1040	525	0.50	0	1
chrUn_KI270333v1	2699	1845162	683.65	20	828
chrUn_KI270336v1	1026	13314	12.98	1	16
chrUn_KI270337v1	1121	39452	35.19	0	43
chrUn_KI270363v1	1803	710	0.39	0	1
chrUn_KI270364v1	2855	1113	0.39	0	1
chrUn_KI270366v1	8320	25759	3.10	0	6
chrUn_KI270395v1	1143	1554	1.36	0	2
chrUn_KI270381v1	1930	1181	0.61	0	1
chrUn_KI270385v1	990	701	0.71	0	1
chrUn_KI270382v1	4215	342	0.08	0	1
chrUn_KI270374v1	2656	221	0.08	0	1
chrUn_KI270448v1	7992	99192	12.41	4	16
chrUn_KI270521v1	7642	74379	9.73	6	12
chrUn_GL000195v1	182896	12635586	69.09	2	127
chrUn_GL000219v1	179198	11699650	65.29	20	98
chrUn_GL000220v1	161802	80483629	497.42	0	1981
chrUn_GL000224v1	179693	18845209	104.87	6	564
chrUn_KI270741v1	157432	1709784	10.86	0	35
chrUn_GL000226v1	15008	9753957	649.92	322	821
chrUn_GL000213v1	164239	2489677	15.16	0	41
chrUn_KI270743v1	210658	11877220	56.38	7	95
chrUn_KI270744v1	168472	9596458	56.96	3	450
chrUn_KI270745v1	41891	49925	1.19	0	5
chrUn_KI270746v1	66486	4866216	73.19	11	140
chrUn_KI270747v1	198735	3622408	18.23	0	39
chrUn_KI270748v1	93321	642675	6.89	0	23
chrUn_KI270749v1	158759	7650502	48.19	4	75
chrUn_KI270750v1	148850	7313948	49.14	3	99
chrUn_KI270751v1	150742	12461832	82.67	0	232
chrUn_KI270753v1	62944	1377491	21.88	1	38
chrUn_KI270754v1	40191	3604826	89.69	7	148
chrUn_KI270755v1	36723	117137	3.19	0	7
chrUn_KI270756v1	79590	6882442	86.47	3	171
chrUn_KI270757v1	71251	7599746	106.66	0	329
chrUn_GL000214v1	137718	17561081	127.51	0	665
chrUn_KI270742v1	186739	12624735	67.61	15	145
chrUn_GL000216v2	176608	22461368	127.18	0	572
chrUn_GL000218v1	161147	10564133	65.56	22	105
chrEBV	171823	141368563	822.76	48	1312
total	3099799038	91083653446	29.38	0	12900
