chrom	length	bases	mean	min	max
chr17_GL000205v2_random	185591	23367387	125.91	0	252
chr17_KI270729v1_random	280839	26771426	95.33	0	1454
chr17_KI270730v1_random	112551	8170240	72.59	0	145
chr22_KI270731v1_random	150754	4466714	29.63	0	64
chr22_KI270732v1_random	41543	4667528	112.35	38	152
chr22_KI270733v1_random	179772	101854743	566.58	4	2146
chr22_KI270734v1_random	165050	13879354	84.09	0	2760
chr22_KI270735v1_random	42811	6222474	145.35	34	213
chr22_KI270736v1_random	181920	22480322	123.57	0	258
chr22_KI270737v1_random	103838	4327267	41.67	1	172
chr22_KI270738v1_random	99375	4066410	40.92	0	78
chr22_KI270739v1_random	73985	403011	5.45	0	13
chrY_KI270740v1_random	37240	728341	19.56	2	36
chrUn_KI270302v1	2274	915	0.40	0	1
chrUn_KI270303v1	1942	541	0.28	0	1
chrUn_KI270322v1	21476	2126	0.10	0	2
chrUn_KI270320v1	4416	82936	18.78	8	25
chrUn_KI270310v1	1201	2977	2.48	1	4
chrUn_KI270315v1	2276	359	0.16	0	1
chrUn_KI270312v1	998	299	0.30	0	1
chrUn_KI270311v1	12399	2921	0.24	0	2
chrUn_KI270317v1	37690	1397	0.04	0	1
chrUn_KI270411v1	2646	8284	3.13	0	6
chrUn_KI270420v1	2321	2665	1.15	0	2
chrUn_KI270417v1	2043	2789	1.37	1	2
chrUn_KI270422v1	1445	4822	3.34	3	4
chrUn_KI270429v1	1361	1326	0.97	0	1
chrUn_KI270442v1	392061	45145752	115.15	0	407
chrUn_KI270466v1	1233	61844	50.16	13	63
chrUn_KI270465v1	1774	7682	4.33	1	8
chrUn_KI270467v1	3920	57327274	14624.30	17	17987
chrUn_KI270435v1	92983	6889518	74.09	37	146
chrUn_KI270438v1	112505	135904276	1207.98	0	12498
chrUn_KI270468v1	4055	25345	6.25	3	8
chrUn_KI270510v1	2415	13122	5.43	4	6
chrUn_KI270509v1	2318	4316	1.86	1	3
chrUn_KI270518v1	2186	4372	2.00	2	2
chrUn_KI270508v1	1951	7849	4.02	1	6
chrUn_KI270512v1	22689	1428610	62.96	0	104
chrUn_KI270519v1	138126	12502969	90.52	0	351
chrUn_KI270522v1	5674	21571	3.80	1	4
chrUn_KI270511v1	8127	327234	40.27	0	43
chrUn_KI270515v1	6361	190392	29.93	12	37
chrUn_KI270507v1	5353	53019	9.90	9	11
chrUn_KI270517v1	3253	32366	9.95	5	12
chrUn_KI270529v1	1899	875	0.46	0	1
chrUn_KI270528v1	2983	2219	0.74	0	1
chrUn_KI270538v1	91309	5710433	62.54	0	198
chrUn_KI270544v1	1202	682	0.57	0	2
chrUn_KI270583v1	1400	1615	1.15	0	2
chrUn_KI270587v1	2969	15955	5.37	2	8
chrUn_KI270580v1	1553	2539	1.63	1	2
chrUn_KI270581v1	7046	5360	0.76	0	3
chrUn_KI270579v1	31033	719891	23.20	5	35
chrUn_KI270589v1	44474	610861	13.74	0	50
chrUn_KI270590v1	4685	359613	76.76	0	89
chrUn_KI270584v1	4513	84974	18.83	7	24
chrUn_KI270582v1	6504	4432	0.68	0	2
chrUn_KI270588v1	6158	93069	15.11	0	18
chrUn_KI270593v1	3041	5680	1.87	0	4
chrUn_KI270591v1	5796	618316	106.68	17	131
chrUn_KI270330v1	1652	4123	2.50	0	10
chrUn_KI270329v1	1040	337	0.32	0	1
chrUn_KI270333v1	2699	2331679	863.90	28	1010
chrUn_KI270336v1	1026	11322	11.04	1	14
chrUn_KI270337v1	1121	35362	31.55	0	42
chrUn_KI270362v1	3530	2073	0.59	0	1
chrUn_KI270366v1	8320	23159	2.78	0	6
chrUn_KI270395v1	1143	1142	1.00	0	1
chrUn_KI270386v1	1788	2145	1.20	0	2
chrUn_KI270393v1	1308	506	0.39	0	1
chrUn_KI270381v1	1930	714	0.37	0	1
chrUn_KI270382v1	4215	3235	0.77	0	2
chrUn_KI270371v1	2805	1350	0.48	0	1
chrUn_KI270448v1	7992	168448	21.08	10	27
chrUn_KI270521v1	7642	89001	11.65	8	17
chrUn_GL000195v1	182896	17323748	94.72	1	213
chrUn_GL000219v1	179198	10476300	58.46	16	92
chrUn_GL000220v1	161802	164113485	1014.29	0	4155
chrUn_GL000224v1	179693	29180851	162.39	8	1001
chrUn_KI270741v1	157432	1736618	11.03	0	22
chrUn_GL000226v1	15008	16047067	1069.23	569	1307
chrUn_GL000213v1	164239	2793529	17.01	0	45
chrUn_KI270743v1	210658	13416357	63.69	12	94
chrUn_KI270744v1	168472	18950951	112.49	1	552
chrUn_KI270745v1	41891	458894	10.95	1	23
chrUn_KI270746v1	66486	7723482	116.17	16	232
chrUn_KI270747v1	198735	5679692	28.58	0	67
chrUn_KI270748v1	93321	649150	6.96	0	23
chrUn_KI270749v1	158759	10498819	66.13	3	100
chrUn_KI270750v1	148850	11044027	74.20	4	119
chrUn_KI270751v1	150742	19326833	128.21	0	372
chrUn_KI270753v1	62944	2582257	41.02	4	75
chrUn_KI270754v1	40191	6094320	151.63	10	267
chrUn_KI270755v1	36723	494911	13.48	1	23
chrUn_KI270756v1	79590	8960896	112.59	6	255
chrUn_KI270757v1	71251	11470829	160.99	0	472
chrUn_GL000214v1	137718	22836452	165.82	0	699
chrUn_KI270742v1	186739	23493972	125.81	30	240
chrUn_GL000216v2	176608	39975115	226.35	4	1019
chrUn_GL000218v1	161147	14509265	90.04	23	147
chrEBV	171823	57563513	335.02	8	471
total	3099790634	133302064342	43.00	0	20132
