chrom	length	bases	mean	min	max
chrUn_KI270374v1	2656	2951	1.11	0	3
chrUn_KI270448v1	7992	132539	16.58	10	23
chrUn_KI270521v1	7642	101949	13.34	11	16
chrUn_GL000195v1	182896	14906870	81.50	4	217
chrUn_GL000219v1	179198	12783263	71.34	18	109
chrUn_GL000220v1	161802	114373378	706.87	0	2918
chrUn_GL000224v1	179693	27980355	155.71	27	1065
chrUn_KI270741v1	157432	1129254	7.17	0	22
chrUn_GL000226v1	15008	18713719	1246.92	609	1693
chrUn_GL000213v1	164239	122859	0.75	0	7
chrUn_KI270743v1	210658	7690298	36.51	10	63
chrUn_KI270744v1	168472	18981117	112.67	1	734
chrUn_KI270745v1	41891	382143	9.12	0	18
chrUn_KI270746v1	66486	5323914	80.08	11	153
chrUn_KI270747v1	198735	5757618	28.97	0	80
chrUn_KI270748v1	93321	1660968	17.80	0	36
chrUn_KI270749v1	158759	9737700	61.34	9	97
chrUn_KI270750v1	148850	9761641	65.58	5	123
chrUn_KI270751v1	150742	17790751	118.02	0	314
chrUn_KI270753v1	62944	3091416	49.11	2	83
chrUn_KI270754v1	40191	5303192	131.95	13	241
chrUn_KI270755v1	36723	375357	10.22	0	20
chrUn_KI270756v1	79590	6400636	80.42	5	204
chrUn_KI270757v1	71251	9941436	139.53	0	395
chrUn_GL000214v1	137718	17780829	129.11	0	503
chrUn_KI270742v1	186739	22316828	119.51	31	212
chrUn_GL000216v2	176608	45105871	255.40	5	1312
chrUn_GL000218v1	161147	13411032	83.22	13	147
chrEBV	171823	151953759	884.36	100	1058
total	3099848002	116632399871	37.63	0	22753
