chrom	length	bases	mean	min	max
chrUn_KI270593v1	3041	14280	4.70	1	7
chrUn_KI270591v1	5796	415985	71.77	7	96
chrUn_KI270330v1	1652	1043	0.63	0	4
chrUn_KI270334v1	1368	1858	1.36	0	4
chrUn_KI270333v1	2699	1399006	518.34	14	675
chrUn_KI270335v1	1048	325	0.31	0	2
chrUn_KI270338v1	1428	277	0.19	0	1
chrUn_KI270340v1	1428	1241	0.87	0	3
chrUn_KI270336v1	1026	11388	11.10	0	15
chrUn_KI270337v1	1121	52630	46.95	0	60
chrUn_KI270364v1	2855	4560	1.60	0	2
chrUn_KI270366v1	8320	1921	0.23	0	1
chrUn_KI270387v1	1537	673	0.44	0	1
chrUn_KI270382v1	4215	2610	0.62	0	3
chrUn_KI270448v1	7992	224774	28.12	16	32
chrUn_KI270521v1	7642	87915	11.50	7	14
chrUn_GL000195v1	182896	13692496	74.86	5	158
chrUn_GL000219v1	179198	2683701	14.98	3	44
chrUn_GL000220v1	161802	119340592	737.57	0	3101
chrUn_GL000224v1	179693	16534067	92.01	4	961
chrUn_KI270741v1	157432	105913	0.67	0	6
chrUn_GL000226v1	15008	16754383	1116.36	574	1426
chrUn_GL000213v1	164239	2350693	14.31	0	41
chrUn_KI270743v1	210658	5519712	26.20	3	71
chrUn_KI270744v1	168472	17946709	106.53	9	528
chrUn_KI270745v1	41891	343693	8.20	0	17
chrUn_KI270746v1	66486	4795807	72.13	7	144
chrUn_KI270747v1	198735	4110604	20.68	0	61
chrUn_KI270748v1	93321	1886719	20.22	0	38
chrUn_KI270749v1	158759	7244418	45.63	1	66
chrUn_KI270750v1	148850	4962511	33.34	2	77
chrUn_KI270751v1	150742	13155307	87.27	0	191
chrUn_KI270753v1	62944	1199063	19.05	3	34
chrUn_KI270754v1	40191	2210156	54.99	8	99
chrUn_KI270755v1	36723	415422	11.31	2	18
chrUn_KI270756v1	79590	5654180	71.04	5	160
chrUn_KI270757v1	71251	5877427	82.49	0	239
chrUn_GL000214v1	137718	14833686	107.71	1	568
chrUn_KI270742v1	186739	9363444	50.14	5	124
chrUn_GL000216v2	176608	26676766	151.05	0	681
chrUn_GL000218v1	161147	11175925	69.35	23	119
chrEBV	171823	117810153	685.65	35	1143
total	3099790392	82878900191	26.74	0	17900
