chrom	length	bases	mean	min	max
chr14_KI270723v1_random	38115	1846371	48.44	10	71
chr14_KI270724v1_random	39555	534011	13.50	5	20
chr14_KI270725v1_random	172810	6697329	38.76	5	76
chr14_KI270726v1_random	43739	19477	0.45	0	3
chr15_KI270727v1_random	448248	6903516	15.40	0	45
chr16_KI270728v1_random	1872759	37347476	19.94	0	59
chr17_GL000205v2_random	185591	14079964	75.87	0	155
chr17_KI270729v1_random	280839	21135393	75.26	0	1321
chr17_KI270730v1_random	112551	5696009	50.61	3	136
chr22_KI270731v1_random	150754	271171	1.80	0	6
chr22_KI270732v1_random	41543	3353626	80.73	25	107
chr22_KI270733v1_random	179772	80568777	448.17	3	1967
chr22_KI270734v1_random	165050	7169225	43.44	1	1553
chr22_KI270735v1_random	42811	3847191	89.86	29	130
chr22_KI270736v1_random	181920	16709505	91.85	0	262
chr22_KI270737v1_random	103838	3421379	32.95	4	146
chr22_KI270738v1_random	99375	2236233	22.50	0	49
chr22_KI270739v1_random	73985	35009	0.47	0	5
chrY_KI270740v1_random	37240	504502	13.55	3	22
chrUn_KI270322v1	21476	4112	0.19	0	2
chrUn_KI270320v1	4416	34778	7.88	1	12
chrUn_KI270310v1	1201	2078	1.73	1	3
chrUn_KI270311v1	12399	2013	0.16	0	2
chrUn_KI270411v1	2646	16006	6.05	0	10
chrUn_KI270420v1	2321	907	0.39	0	1
chrUn_KI270417v1	2043	1169	0.57	0	1
chrUn_KI270422v1	1445	4807	3.33	2	4
chrUn_KI270423v1	981	514	0.52	0	1
chrUn_KI270442v1	392061	25770726	65.73	0	246
chrUn_KI270466v1	1233	100592	81.58	11	111
chrUn_KI270465v1	1774	5609	3.16	2	4
chrUn_KI270467v1	3920	31577893	8055.58	11	10285
chrUn_KI270435v1	92983	3689311	39.68	14	110
chrUn_KI270438v1	112505	89149355	792.40	0	8636
chrUn_KI270468v1	4055	18460	4.55	1	6
chrUn_KI270510v1	2415	15497	6.42	5	8
chrUn_KI270509v1	2318	2615	1.13	0	2
chrUn_KI270518v1	2186	836	0.38	0	1
chrUn_KI270508v1	1951	1809	0.93	0	2
chrUn_KI270516v1	1300	1206	0.93	0	1
chrUn_KI270512v1	22689	483760	21.32	0	49
chrUn_KI270519v1	138126	6613839	47.88	0	216
chrUn_KI270522v1	5674	43066	7.59	6	10
chrUn_KI270511v1	8127	160323	19.73	0	22
chrUn_KI270515v1	6361	217219	34.15	16	44
chrUn_KI270507v1	5353	25362	4.74	3	7
chrUn_KI270517v1	3253	50203	15.43	9	18
chrUn_KI270529v1	1899	1889	0.99	0	1
chrUn_KI270530v1	2168	746	0.34	0	1
chrUn_KI270538v1	91309	3135345	34.34	0	113
chrUn_KI270544v1	1202	741	0.62	0	1
chrUn_KI270548v1	1599	430	0.27	0	1
chrUn_KI270583v1	1400	1317	0.94	0	1
chrUn_KI270587v1	2969	30423	10.25	5	13
chrUn_KI270580v1	1553	4774	3.07	2	4
chrUn_KI270581v1	7046	19378	2.75	0	5
chrUn_KI270579v1	31033	391220	12.61	1	27
chrUn_KI270589v1	44474	553238	12.44	0	53
chrUn_KI270590v1	4685	216911	46.30	0	52
chrUn_KI270584v1	4513	62677	13.89	4	19
chrUn_KI270582v1	6504	14421	2.22	0	5
chrUn_KI270588v1	6158	62434	10.14	0	13
chrUn_KI270593v1	3041	2521	0.83	0	1
chrUn_KI270591v1	5796	418672	72.23	10	90
chrUn_KI270330v1	1652	692	0.42	0	2
chrUn_KI270334v1	1368	609	0.45	0	1
chrUn_KI270333v1	2699	3108374	1151.68	97	1527
chrUn_KI270340v1	1428	2027	1.42	0	3
chrUn_KI270336v1	1026	19523	19.03	1	24
chrUn_KI270337v1	1121	83097	74.13	0	93
chrUn_KI270364v1	2855	1408	0.49	0	1
chrUn_KI270362v1	3530	285	0.08	0	1
chrUn_KI270366v1	8320	12310	1.48	0	3
chrUn_KI270390v1	2387	1815	0.76	0	1
chrUn_KI270384v1	1658	2341	1.41	0	3
chrUn_KI270385v1	990	771	0.78	0	1
chrUn_KI270448v1	7992	122288	15.30	9	19
chrUn_KI270521v1	7642	102586	13.42	5	17
chrUn_GL000195v1	182896	11024710	60.28	1	133
chrUn_GL000219v1	179198	6982914	38.97	7	69
chrUn_GL000220v1	161802	110916709	685.51	1	2810
chrUn_GL000224v1	179693	18288602	101.78	13	883
chrUn_KI270741v1	157432	797511	5.07	0	14
chrUn_GL000226v1	15008	13809027	920.11	444	1184
chrUn_GL000213v1	164239	1920455	11.69	0	27
chrUn_KI270743v1	210658	5997004	28.47	6	57
chrUn_KI270744v1	168472	16659406	98.89	3	693
chrUn_KI270745v1	41891	200340	4.78	0	10
chrUn_KI270746v1	66486	3058615	46.00	9	88
chrUn_KI270747v1	198735	2810565	14.14	0	54
chrUn_KI270748v1	93321	1979834	21.22	2	38
chrUn_KI270749v1	158759	7165559	45.13	5	72
chrUn_KI270750v1	148850	6074287	40.81	0	87
chrUn_KI270751v1	150742	9057654	60.09	0	170
chrUn_KI270753v1	62944	1942772	30.87	1	66
chrUn_KI270754v1	40191	3528826	87.80	7	157
chrUn_KI270755v1	36723	393376	10.71	0	18
chrUn_KI270756v1	79590	5927584	74.48	1	179
chrUn_KI270757v1	71251	5146831	72.24	0	206
chrUn_GL000214v1	137718	8752039	63.55	1	232
chrUn_KI270742v1	186739	9992348	53.51	9	116
chrUn_GL000216v2	176608	28907820	163.68	5	843
chrUn_GL000218v1	161147	9478068	58.82	14	87
chrEBV	171823	49277615	286.79	26	447
total	3099787354	79122948871	25.53	0	14214
